"Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"GOTERM_CC_DIRECT","GO:0005886~plasma membrane",248,36.5781710914454,3.88953464458197e-20,"IFITM3, SLC23A2, FRMPD3, IGHV3-21, LST1, C2ORF88, ABCA12, ANTXR2, GRPR, SLC4A4, IGLV2-8, BAIAP2L1, DPYSL2, MS4A14, HOMER3, CPNE2, SYNPO, IGHV3-7, EPHB1, SRGAP2B, UNC13C, IGHV3-30, ENTPD2, PRKCH, ACTN1, IGHV3-33, SLC34A1, ADCY9, KEL, DAAM1, KCNQ1, KCNQ2, KCNQ5, TLN2, PRKD1, CD101, IGHV4-4, IGKV2D-30, SDC4, RRAD, LPAR1, CLCNKA, IGHV1-69, MST1R, THY1, CD1C, C3, EPB41L5, NKAIN3, TERT, KCNMB1, MYO6, INPP5J, KCNN1, KCNN2, PIP5K1B, IGHA1, S100A10, FZD1, PTPRN2, DTNA, FYB1, FZD5, IGHV3-11, FN1, FZD8, PTK2, NOTCH2NLB, PCDHGA11, PCDHGA12, LYPD6B, FERMT2, GSDME, SLC44A5, ACHE, NRP2, KCNC4, SHB, ARHGAP5, JPH4, PPP3CA, UCHL1, JPH2, C1QTNF1, FLVCR2, CTSF, CCR6, CLIC2, CCR4, RALGPS2, NCOA1, KCND2, GPR34, FCRL5, NFAM1, SLC2A13, IL17RB, ELAPOR1, FCER2, NCR2, CLDN10, IGLV3-10, MMP17, RAPGEF2, TLR4, GRAMD1B, IGHV6-1, ASAH2, SGMS1, PTGER2, KCNA3, IGHV1-24, ADCY6, IGLV3-25, NCR3LG1, GPC1, LAIR2, JAM2, NPDC1, SVIL, LRRC26, IGKV1-9, DMTN, IGKV1-8, WHRN, GCGR, F12, GABRA4, IGKV1-5, TBC1D3K, SLCO3A1, RIMBP2, CSF3R, IRS1, UPK2, GPR68, CTNND2, SIRPG, GUCA1B, SLC9C1, AMOT, IGF1R, LAMP5, TMEM266, IGHG1, CYSLTR2, PLAU, TBC1D30, TOM1, RGS9, RGS6, IL13RA1, IPCEF1, IGHV1-18, OBSCN, FRMD6, CLEC4D, RAB38, SLC27A3, TRABD2A, SUCNR1, ITPR2, EFNA5, RASGRP2, GPR82, CACNA1G, IGLV2-11, PDZD2, IGLV1-47, IGLV1-44, CD300LB, PLXNA2, IGKV3-11, GRIA3, STRA6, ATP8B1, ZG16B, TNFRSF9, TMEM120A, PXDNL, ADAP1, TNFRSF10D, VIL1, PTPRE, IGLV1-51, DLG3, ALPP, CLEC6A, MYCBPAP, ULBP1, CPM, PODXL2, ITGB4, FLT3, LRRK2, ITGB3, MS4A7, FHL1, IGHV1-2, ARRB1, TSPAN11, SIRPB1, PIK3CG, PSTPIP2, MCF2L, C3ORF52, NEO1, PTGIR, PCDHGA6, GRID2, CCDC198, CEMIP2, TNFRSF19, UBE2QL1, IGLV4-69, NRG4, TNFRSF25, ITGA5, IGHV3-43, NRXN3, PARD6G, IGHV3-48, IGHV3-49, SAMHD1, ADD2, CYTH3, CNNM1, SV2B, MARVELD1, TMEM204, LRIG3, GBP1, KCNJ3, KLRG1, NTRK2, IGHV3-53, HIP1R, APOBR, PTPN13, TSPAN15, CLEC2B, RAB12, CROCC, SPRY1, PDCD1, RAB17, ACKR1, NECTIN4",556,5534,20666,1.66568992727755,1.79696500579687e-17,1.79696500579687e-17,1.75029059006189e-17
"UP_SEQ_FEATURE","REGION:Framework-1",28,4.12979351032448,1.98350495581171e-15,"IGHV4-4, IGHV6-1, IGKV2D-30, IGHV3-43, IGHV3-21, IGHV1-2, IGHV3-48, IGHV1-24, IGHV3-49, IGHV1-69, IGLV2-11, IGLV2-8, IGLV3-25, IGLV1-47, IGLV1-44, IGHV3-7, IGKV3-11, IGKV1-9, IGHV3-30, IGHV3-53, IGKV1-8, IGHV3-33, IGHV3-11, IGKV1-5, IGHV1-18, IGLV4-69, IGLV1-51, IGLV3-10",572,141,20502,7.11769081981848,5.129896507583e-12,1.20081876119258e-12,1.19614085405899e-12
"UP_SEQ_FEATURE","REGION:Complementarity-determining-1",28,4.12979351032448,2.33895356679504e-15,"IGHV4-4, IGHV6-1, IGKV2D-30, IGHV3-43, IGHV3-21, IGHV1-2, IGHV3-48, IGHV1-24, IGHV3-49, IGHV1-69, IGLV2-11, IGLV2-8, IGLV3-25, IGLV1-47, IGLV1-44, IGHV3-7, IGKV3-11, IGKV1-9, IGHV3-30, IGHV3-53, IGKV1-8, IGHV3-33, IGHV3-11, IGKV1-5, IGHV1-18, IGLV4-69, IGLV1-51, IGLV3-10",572,142,20502,7.06756623658032,5.98487925884683e-12,1.20081876119258e-12,1.19614085405899e-12
"UP_SEQ_FEATURE","REGION:Complementarity-determining-2",28,4.12979351032448,2.33895356679504e-15,"IGHV4-4, IGHV6-1, IGKV2D-30, IGHV3-43, IGHV3-21, IGHV1-2, IGHV3-48, IGHV1-24, IGHV3-49, IGHV1-69, IGLV2-11, IGLV2-8, IGLV3-25, IGLV1-47, IGLV1-44, IGHV3-7, IGKV3-11, IGKV1-9, IGHV3-30, IGHV3-53, IGKV1-8, IGHV3-33, IGHV3-11, IGKV1-5, IGHV1-18, IGLV4-69, IGLV1-51, IGLV3-10",572,142,20502,7.06756623658032,5.98487925884683e-12,1.20081876119258e-12,1.19614085405899e-12
"UP_SEQ_FEATURE","REGION:Framework-2",28,4.12979351032448,2.33895356679504e-15,"IGHV4-4, IGHV6-1, IGKV2D-30, IGHV3-43, IGHV3-21, IGHV1-2, IGHV3-48, IGHV1-24, IGHV3-49, IGHV1-69, IGLV2-11, IGLV2-8, IGLV3-25, IGLV1-47, IGLV1-44, IGHV3-7, IGKV3-11, IGKV1-9, IGHV3-30, IGHV3-53, IGKV1-8, IGHV3-33, IGHV3-11, IGKV1-5, IGHV1-18, IGLV4-69, IGLV1-51, IGLV3-10",572,142,20502,7.06756623658032,5.98487925884683e-12,1.20081876119258e-12,1.19614085405899e-12
"UP_SEQ_FEATURE","REGION:Framework-3",28,4.12979351032448,2.33895356679504e-15,"IGHV4-4, IGHV6-1, IGKV2D-30, IGHV3-43, IGHV3-21, IGHV1-2, IGHV3-48, IGHV1-24, IGHV3-49, IGHV1-69, IGLV2-11, IGLV2-8, IGLV3-25, IGLV1-47, IGLV1-44, IGHV3-7, IGKV3-11, IGKV1-9, IGHV3-30, IGHV3-53, IGKV1-8, IGHV3-33, IGHV3-11, IGKV1-5, IGHV1-18, IGLV4-69, IGLV1-51, IGLV3-10",572,142,20502,7.06756623658032,5.98487925884683e-12,1.20081876119258e-12,1.19614085405899e-12
"UP_SEQ_FEATURE","REGION:Complementarity-determining-3",27,3.98230088495575,1.18761416234453e-14,"IGHV4-4, IGHV6-1, IGKV2D-30, IGHV3-43, IGHV3-21, IGHV1-2, IGHV3-48, IGHV1-24, IGHV3-49, IGHV1-69, IGLV2-11, IGLV2-8, IGLV1-47, IGLV1-44, IGHV3-7, IGKV3-11, IGKV1-9, IGHV3-30, IGHV3-53, IGKV1-8, IGHV3-33, IGHV3-11, IGKV1-5, IGHV1-18, IGLV4-69, IGLV1-51, IGLV3-10",572,139,20502,6.96224279317804,3.04943847950767e-11,5.08100925789737e-12,5.06121568852496e-12
"GOTERM_MF_DIRECT","GO:0003823~antigen binding",27,3.98230088495575,2.44968326032204e-14,"IGHV4-4, IGHV6-1, IGHV3-43, IGHV3-21, IGHV1-2, IGHV3-48, IGHV1-24, IGHV3-49, IGHV1-69, JCHAIN, IGLV2-11, IGLV2-8, IGLV3-25, IGHG1, IGLV1-47, NCR3LG1, IGLV1-44, IGHV3-7, IGHA1, IGKV3-11, IGHV3-30, IGHV3-53, IGHV3-33, IGHV3-11, IGKV1-5, IGHV1-18, IGLV1-51",533,144,19208,6.75703564727955,2.07328598733625e-11,2.06998235497213e-11,2.06508298845148e-11
"GOTERM_BP_DIRECT","GO:0006955~immune response",50,7.37463126843658,2.96986858262527e-14,"IFITM3, PGLYRP4, ADAMDEC1, CCL4L2, LST1, IGHV1-2, PIK3CG, IGF1R, JCHAIN, IGLV2-8, CYSLTR2, CCR6, IGHV3-7, HLA-DOB, CCR4, IGHV3-30, FCRL5, IL15, IGHV3-33, SERPINB9, IGLV4-69, FCER2, AIM2, IGLV3-10, PXDN, TLR4, CCL3L1, IGKV2D-30, TCF7, IGHV3-48, IGHV1-69, CD1C, CFP, SAMHD1, IGLV2-11, C3, IGLV3-25, IGLV1-47, IGLV1-44, IGHA1, IGKV3-11, IGKV1-9, FYB1, IGHV3-53, IGKV1-8, IGHV3-11, IGKV1-5, IGLV1-51, CXCL12, ULBP1",518,529,19416,3.54278123654305,7.59321494570031e-11,7.57910462285969e-11,7.57019501711181e-11
"GOTERM_CC_DIRECT","GO:0019814~immunoglobulin complex",29,4.27728613569322,1.19644579960968e-13,"IGHV4-4, IGHV6-1, IGKV2D-30, IGHV3-43, IGHV3-21, IGHV1-2, IGHV3-48, IGHV1-24, IGHV3-49, IGHV1-69, IGLV2-11, IGLV2-8, IGLV3-25, IGHG1, IGLV1-47, IGLV1-44, IGHV3-7, IGKV3-11, IGKV1-9, IGHV3-30, IGHV3-53, IGKV1-8, IGHV3-33, IGHV3-11, IGKV1-5, IGHV1-18, IGLV4-69, IGLV1-51, IGLV3-10",556,185,20666,5.82650204160996,5.52931034292214e-11,2.76378979709836e-11,2.69200304912178e-11
